run,tag,rows,csv_path
alpha_fixed_0p001_or_loss.1,Loss/Train_Step,9307,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Loss_Train_Step.csv
alpha_fixed_0p001_or_loss.1,LR,9307,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/LR.csv
alpha_fixed_0p001_or_loss.1,Fusion/alpha,9306,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Fusion_alpha.csv
alpha_fixed_0p001_or_loss.1,Loss/Train_Epoch,4,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Loss_Train_Epoch.csv
alpha_fixed_0p001_or_loss.1,Loss/Val,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Loss_Val.csv
alpha_fixed_0p001_or_loss.1,Metrics/IoU,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_IoU.csv
alpha_fixed_0p001_or_loss.1,Metrics/mIoU,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_mIoU.csv
alpha_fixed_0p001_or_loss.1,Metrics/Accuracy,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_Accuracy.csv
alpha_fixed_0p001_or_loss.1,Metrics/mAcc,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_mAcc.csv
alpha_fixed_0p001_or_loss.1,Metrics/Semantic_mIoU_A,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_Semantic_mIoU_A.csv
alpha_fixed_0p001_or_loss.1,Metrics/Semantic_mIoU_Diff2Scene,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/Metrics_Semantic_mIoU_Diff2Scene.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/wall,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_wall.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/floor,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_floor.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/cabinet,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_cabinet.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/bed,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_bed.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/chair,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_chair.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/sofa,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_sofa.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/table,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_table.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/door,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_door.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/window,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_window.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/bookshelf,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_bookshelf.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/picture,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_picture.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/counter,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_counter.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/desk,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_desk.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/curtain,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_curtain.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/refrigerator,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_refrigerator.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/shower curtain,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_shower_curtain.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/toilet,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_toilet.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/sink,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_sink.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/bathtub,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_bathtub.csv
alpha_fixed_0p001_or_loss.1,PerClass_IoU_D2S/otherfurniture,2,record/tensorboard_csv/alpha_fixed_0p001_or_loss.1/PerClass_IoU_D2S_otherfurniture.csv
or_loss.1,Loss/Train_Step,3473,record/tensorboard_csv/or_loss.1/Loss_Train_Step.csv
or_loss.1,LR,3473,record/tensorboard_csv/or_loss.1/LR.csv
or_loss.1,Fusion/alpha,3473,record/tensorboard_csv/or_loss.1/Fusion_alpha.csv
or_loss.1,Loss/Train_Epoch,4,record/tensorboard_csv/or_loss.1/Loss_Train_Epoch.csv
or_loss.1,Loss/Val,3,record/tensorboard_csv/or_loss.1/Loss_Val.csv
or_loss.1,Metrics/IoU,3,record/tensorboard_csv/or_loss.1/Metrics_IoU.csv
or_loss.1,Metrics/mIoU,3,record/tensorboard_csv/or_loss.1/Metrics_mIoU.csv
or_loss.1,Metrics/Accuracy,3,record/tensorboard_csv/or_loss.1/Metrics_Accuracy.csv
or_loss.1,Metrics/mAcc,3,record/tensorboard_csv/or_loss.1/Metrics_mAcc.csv
or_loss.1,Metrics/Semantic_mIoU_A,3,record/tensorboard_csv/or_loss.1/Metrics_Semantic_mIoU_A.csv
or_loss.1,Metrics/Semantic_mIoU_Diff2Scene,3,record/tensorboard_csv/or_loss.1/Metrics_Semantic_mIoU_Diff2Scene.csv
or_loss.1,PerClass_IoU_D2S/wall,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_wall.csv
or_loss.1,PerClass_IoU_D2S/floor,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_floor.csv
or_loss.1,PerClass_IoU_D2S/cabinet,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_cabinet.csv
or_loss.1,PerClass_IoU_D2S/bed,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_bed.csv
or_loss.1,PerClass_IoU_D2S/chair,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_chair.csv
or_loss.1,PerClass_IoU_D2S/sofa,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_sofa.csv
or_loss.1,PerClass_IoU_D2S/table,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_table.csv
or_loss.1,PerClass_IoU_D2S/door,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_door.csv
or_loss.1,PerClass_IoU_D2S/window,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_window.csv
or_loss.1,PerClass_IoU_D2S/bookshelf,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_bookshelf.csv
or_loss.1,PerClass_IoU_D2S/picture,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_picture.csv
or_loss.1,PerClass_IoU_D2S/counter,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_counter.csv
or_loss.1,PerClass_IoU_D2S/desk,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_desk.csv
or_loss.1,PerClass_IoU_D2S/curtain,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_curtain.csv
or_loss.1,PerClass_IoU_D2S/refrigerator,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_refrigerator.csv
or_loss.1,PerClass_IoU_D2S/shower curtain,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_shower_curtain.csv
or_loss.1,PerClass_IoU_D2S/toilet,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_toilet.csv
or_loss.1,PerClass_IoU_D2S/sink,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_sink.csv
or_loss.1,PerClass_IoU_D2S/bathtub,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_bathtub.csv
or_loss.1,PerClass_IoU_D2S/otherfurniture,3,record/tensorboard_csv/or_loss.1/PerClass_IoU_D2S_otherfurniture.csv
